instance,recent_max,z_score,historical_mean,historical_std
instance-98fb11bb-78e8-4d90-903e-8961451ba50e,5.58,7.93,3.03,0.32
instance-b448cf74-cbcf-4667-a9b5-88df5873a873,1.75,7.93,1.43,0.04
instance-08496627-20cd-47ab-8f15-347dc8b18f01,20.18,7.92,4.79,1.94
instance-a8be72f1-9b17-499a-8e36-cd28cf1d291c,20.62,7.92,16.56,0.51
instance-d149dbe0-1f3e-4ab4-a6e0-446457f4c12f,7.09,7.91,4.44,0.34
instance-ee0cff36-4309-4fcc-8aa7-9d8bafcaf9a7,2.35,7.91,0.8,0.2
instance-e7b1230c-d8aa-4012-88a4-c698746288b3,17.28,7.9,15.65,0.21
instance-22b3fcdf-a4f9-42d1-9209-980aade840d1,5.33,7.89,2.84,0.32
instance-cefb47c1-e506-4ff4-96ea-a9dec44b829d,35.02,7.89,6.36,3.63
instance-f14d835c-176d-414e-8216-5d2e7e7dc02e,15.3,7.89,13.4,0.24
instance-aa6b9f72-0355-46e3-b9bd-f5fae99bd3f2,18.0,7.88,15.6,0.3
instance-d9015571-e575-4a44-ad3f-b6c62b8cdf34,6.51,7.88,1.11,0.69
instance-58674d3d-77d3-43e8-91ae-d72e0bc8e7d0,5.17,7.87,2.53,0.34
instance-9fc62c40-e8fd-44ec-896d-4e515486703e,23.6,7.87,6.77,2.14
instance-259ab818-06fa-46f1-9d57-e5deae8ba8c3,9.62,7.86,8.21,0.18
instance-73b5099b-df7a-41c7-af5c-7accdff3afe7,18.02,7.86,14.2,0.49
instance-e41ec64c-eb54-4539-b69f-92353a1c8412,19.43,7.86,16.21,0.41
instance-bdfd42ab-c551-4d91-a146-aa2d5989201b,22.54,7.84,4.74,2.27
instance-e97b156b-817b-414e-9636-e27125acef5d,5.79,7.84,2.51,0.42
instance-6948241b-5576-4ad0-8028-48d75525474f,22.25,7.83,5.76,2.11
instance-69a4acaf-6e88-40c0-a259-29415b20fbd9,22.72,7.83,17.35,0.69
instance-6ba024ba-d630-4832-98e6-13cc83f3df64,22.47,7.83,17.17,0.68
instance-be80568b-501d-4217-8e4c-b04bb328f96e,4.65,7.83,2.31,0.3
instance-3f5130e6-60a1-4402-bb21-685d8f8a163a,10.06,7.82,2.99,0.9
instance-bdbd66a5-5574-4283-bce6-f1afe20e25d0,18.16,7.82,11.72,0.82
instance-f9c80ab3-e200-41ea-aa2c-fca8e6efd9d2,5.46,7.82,4.0,0.19
instance-918806b1-c9ba-464a-8b1d-970010980469,16.29,7.81,9.53,0.87
instance-e6c3aa0f-50fd-430f-93e2-d074f091ed80,6.66,7.8,5.51,0.15
instance-84a1d951-9cf3-460c-8351-208ee46a454e,16.04,7.79,15.22,0.11
instance-9aabfc4e-3f67-47e8-8cf0-c0f359a741f8,3.81,7.79,3.29,0.07
instance-09ccccc5-d7b6-4cba-9c92-a5da0c3ec5dd,28.67,7.78,4.01,3.17
instance-99e14a64-375b-48a3-b18d-1b7bc28edbe1,10.77,7.78,6.29,0.58
instance-b11e692b-e015-4254-b8d8-0e2b46174947,22.74,7.78,5.0,2.28
instance-33862cd1-1d75-4003-b0ee-a5d78a0b1d59,9.28,7.77,1.43,1.01
instance-46d0e127-2f31-40b6-a4a2-b41acd4815df,2.84,7.77,2.29,0.07
instance-72feef36-0646-4964-98f2-17f0d04a639a,9.78,7.77,8.36,0.18
instance-7774546e-ed1f-4dd6-b387-f4faced31276,9.35,7.77,1.42,1.02
instance-8ab274a7-1922-4ed7-9846-6e67d3450847,12.07,7.77,5.51,0.84
instance-baa00588-919e-44fb-bbf0-3b1d86dbdde7,13.89,7.77,4.18,1.25
instance-e8ec93ef-c155-45dc-8e9b-26e9e89496c6,10.46,7.77,7.97,0.32
instance-3f139a95-4d9a-4314-8491-1f1de64321e5,10.95,7.76,8.22,0.35
instance-b46796c6-e601-4935-8e67-d79969e74991,8.77,7.76,4.37,0.57
instance-d77dcf6c-eab3-4e52-81d4-acbbf54d9077,6.79,7.76,2.18,0.59
instance-d92bc7b0-c101-4d9a-b2a0-4b6e0b6342e0,1.83,7.76,1.16,0.09
instance-e1c302b6-c00c-4d44-8d46-77bbf2346736,4.53,7.76,2.69,0.24
instance-852a6f47-5bcd-476b-9d4b-06382205cf3e,1.86,7.75,1.61,0.03
instance-de5bc1c6-d995-4f33-ae33-ca5545f550f6,15.49,7.75,13.14,0.3
instance-a196d8b9-542a-4f37-8819-c62ae7ba58a0,16.89,7.73,15.0,0.24
instance-d5d7022d-4ba9-4406-8c08-fd5b4ac93ba9,2.9,7.73,2.39,0.07
instance-f3a7260d-1386-4380-9f91-5d5db5e1bc5f,0.72,7.73,0.49,0.03
instance-03d6eb5c-aef6-46cb-9945-a95497677727,11.11,7.72,9.15,0.25
instance-aa7cfc57-bb80-46bd-b6fb-ed9136f21600,19.01,7.71,14.52,0.58
instance-68ff450f-a90d-4bca-928e-ec634995dc50,3.18,7.7,2.27,0.12
instance-c5c7bd54-2451-4901-af81-fce57249bed2,15.49,7.7,2.83,1.65
instance-ce071753-3ea8-4749-b324-b11621fbb285,18.29,7.69,7.5,1.4
instance-20bef64d-e9de-4399-80d1-da0219920405,1.35,7.68,1.06,0.04
instance-7a8af554-f81f-4a41-bfe4-8f8092fe3ecb,9.39,7.68,8.14,0.16
instance-30e9f97a-cca2-46ec-8fc1-bd5d008d69cb,10.77,7.67,8.05,0.35
instance-9894df9e-4ae5-47be-8ae9-72f653df9f80,2.77,7.67,2.35,0.05
instance-e9da21e7-2d2d-40cc-995d-a10d215d2c66,3.62,7.67,3.22,0.05
instance-0fe8cb38-7ab1-4ca3-9071-0d103c1210d5,6.58,7.66,3.95,0.34
instance-44b77f2d-8b5a-44d7-a2d3-fdfd6cba8539,25.4,7.66,3.99,2.8
instance-78d96245-07da-43b8-ab63-6e3eaa24517e,5.47,7.66,4.11,0.18
instance-1bdbb5ff-6ff3-4606-ba1d-ad453bb9e0da,4.5,7.65,3.62,0.12
instance-c73d2c47-0824-4d71-a62d-2f67d59f2cfe,10.37,7.65,5.3,0.66
instance-c30726e0-f997-43e1-b2cb-6f2dc4bd557b,17.22,7.64,15.76,0.19
instance-a4fbf191-335e-4e5b-a2e5-9ad65bc984b1,3.88,7.62,2.67,0.16
instance-c8b70cc9-2357-41f0-8ba4-dfcde2ed1d35,16.88,7.62,3.0,1.82
instance-b547a965-85d0-48f0-99d6-56c23963de92,38.04,7.61,6.49,4.14
instance-cbab7024-3f11-450b-9097-c1ac5823825b,8.88,7.61,7.34,0.2
instance-143d0276-9318-4403-9bab-df117f7bf19d,12.01,7.6,6.69,0.7
instance-4fcf6050-c945-4b97-a7e8-a00d0f24ba22,3.34,7.6,2.44,0.12
instance-739cebbc-f1fd-4a31-94ea-c5502eee23fa,8.83,7.6,7.66,0.15
instance-e70d4c17-36da-4c68-815a-31f8f3e15108,1.49,7.6,0.69,0.11
instance-f2f4d0d3-f2d7-4f57-a23e-5b643b1abc78,1.32,7.6,0.96,0.05
instance-3e80264a-97da-44fb-b315-4af61f3d3c58,9.73,7.59,5.59,0.55
instance-50ed74b6-5e7b-4a3d-b46f-73ba0a2ab3a2,3.96,7.59,2.44,0.2
instance-00a1bc7e-122f-41f1-82df-842a5696c1ba,38.98,7.58,18.26,2.73
instance-ad0041fc-f838-4c3b-8b07-989e6371dc0c,7.95,7.58,2.8,0.68
instance-04dde065-7b8d-4ece-8982-e691d6724f77,14.42,7.57,10.41,0.53
instance-912d3edb-029e-45c5-aa9b-49d61522208a,5.73,7.57,2.91,0.37
instance-32ff70c0-0e8a-4d62-8ab8-b447f665ea7b,8.39,7.56,1.98,0.85
instance-e3da1c80-30f2-4862-a103-49fb16dd2ff8,22.67,7.56,4.02,2.47
instance-a2e3b978-64db-4472-8089-3552ac83b7ff,17.9,7.55,16.43,0.19
instance-c37351e6-fc07-4f21-8a07-e37c1b6dd3b5,39.08,7.55,20.3,2.49
instance-d07869ce-40d8-458a-aadb-d96226c52bf1,8.43,7.53,6.19,0.3
instance-b8aa7fd0-53d4-4480-b9f1-e1cf7f5f13d5,4.19,7.52,2.5,0.23
instance-c942a263-de96-4f4b-b3bf-304ef6619e97,11.04,7.52,9.14,0.25
instance-10a30f02-76af-481b-a2a4-98c59f5a8f91,22.55,7.51,5.05,2.33
instance-2ce421a9-f7e5-481f-8451-5d0923a4ee59,24.44,7.51,18.0,0.86
instance-5d400a46-cede-46dd-a0f1-337a6f839482,4.41,7.51,3.8,0.08
instance-8036a5f9-d34f-4dca-9c70-1dadc57e6548,3.28,7.51,2.12,0.15
instance-92fb4050-fca5-477d-aa59-afeaa7e4f358,8.0,7.51,1.47,0.87
instance-dba262f6-62b0-4257-a95b-e4885a29e208,40.52,7.51,10.09,4.05
instance-86079c38-ee27-436d-a699-54d3899b0bb9,12.04,7.49,9.15,0.39
instance-acee387a-f442-464d-9067-2e6252527a7a,6.6,7.49,4.22,0.32
instance-fbdf229f-22c4-4584-823a-20789a273a50,5.19,7.49,2.51,0.36
instance-c319fe3c-e5ca-420b-9876-56d7b39777be,31.0,7.48,25.8,0.7
instance-ce67a218-17ff-43c8-a2f7-20f6f3318e8d,1.39,7.45,0.88,0.07
instance-06c1808e-b91c-45e3-8014-9b3434c95f10,22.85,7.44,16.79,0.81
instance-380aa2e2-ff85-493f-8a4f-e7330eaf1dee,4.99,7.44,2.33,0.36
instance-37c2d404-3fed-407b-8544-c15702d0f2cf,4.64,7.43,3.64,0.13
instance-182f2f09-b2d8-4f90-ab15-43f85cb5d6b0,7.21,7.42,4.49,0.37
instance-b4f3d1cc-5382-4d84-ab87-daca51389b3a,1.77,7.42,1.58,0.02
instance-d1947ef3-3514-4d7d-9d74-8c6c5e4d3a89,18.45,7.42,2.75,2.12
instance-1a7f27c5-2b33-4878-b82a-c53ec4fb242a,8.65,7.4,1.39,0.98
instance-98427938-186a-42b5-b11d-c9bf77ab18f8,18.45,7.4,16.31,0.29
instance-7fed6a32-0c15-4a43-89a8-a2f285e1967a,12.65,7.39,10.81,0.25
instance-fe9b6aa6-1689-4f5f-9db5-c3e9a30fd650,1.36,7.39,0.94,0.06
instance-32a2f8f1-d426-46ae-ac8a-334b984eb61a,11.33,7.38,4.14,0.97
instance-be584e6b-4c28-4842-953a-9519c5898a81,7.55,7.37,2.65,0.66
instance-e76d094d-043d-4d1a-b4c2-4c758b16bd45,2.57,7.37,0.87,0.23
instance-484dffb7-5e51-407c-b6ea-c971b931523a,8.51,7.35,7.02,0.2
instance-5a81ba52-e5be-4f99-955e-00f58cd0277b,0.53,7.35,0.36,0.02
instance-6fdaeedf-8690-4260-ba40-2011e336e0d5,28.17,7.35,13.24,2.03
instance-335477b6-c492-420f-9f16-055e703a5d2a,13.07,7.34,6.91,0.84
instance-b30525a0-489d-46af-8e8e-3851e9a4f140,3.6,7.34,3.18,0.06
instance-06d0629a-6a92-4f7a-ad60-82a167150aff,11.13,7.33,6.39,0.65
instance-2aa67930-2cc1-4a04-9050-e61a92ddf510,18.88,7.33,7.95,1.49
instance-6d1e5b1d-f62f-40f0-86b3-d0e843581ffa,9.52,7.33,5.02,0.61
instance-8ac791ee-0e94-4cbd-8cb7-be946b7a6ce7,22.03,7.33,14.75,0.99
instance-bbe4b748-069d-4373-a58e-f443ffe5297d,5.34,7.33,3.91,0.19
instance-010454cf-6a1f-457c-82d5-3fc82dda0833,34.37,7.32,6.95,3.75
instance-67ff8493-1033-458a-a89e-c43ab29eaa77,21.8,7.31,4.87,2.32
instance-f48fe8b1-c875-4f90-922a-57e960f19c59,15.52,7.31,13.08,0.33
instance-695d3809-e361-49de-856b-ec818edc5a9b,7.3,7.3,6.15,0.16
instance-85e8b273-387a-4cb2-b751-3d0a523f03d3,11.28,7.29,9.02,0.31
instance-e3e8c4cd-5cc7-42fd-a42d-7a7b80a20659,7.11,7.28,4.21,0.4
instance-09a56e35-d765-439d-93b2-01d7aeb8936a,0.43,7.27,0.29,0.02
instance-14e60a9d-e79a-4d13-bb72-418aa84b7c03,51.23,7.26,12.32,5.36
instance-81771c00-90a0-4251-b255-7d4303f353d1,6.76,7.26,3.39,0.46
instance-9075f6cc-2161-4a47-a5b4-01a91e5b7c74,13.26,7.26,8.12,0.71
instance-99e869e9-cfd3-4428-88a8-4f1572988edc,5.61,7.26,2.96,0.37
instance-b0c56185-34a8-45da-983b-716ce4968195,2.52,7.26,2.26,0.04
instance-ccd49362-6eb4-495a-84b9-a035aa7994a2,3.15,7.26,1.05,0.29
instance-28e345ed-22c5-415e-8eb7-7edc20bc6166,11.72,7.25,5.96,0.79
instance-28fcc208-5504-4d61-abaa-ed6d30f4251d,2.46,7.25,1.88,0.08
instance-4b7a2bf2-e0d2-4d49-b19d-c8bb1c6b06dd,9.82,7.25,4.47,0.74
instance-7c479df3-4ec0-4faa-9bb5-568390314042,1.1,7.25,0.72,0.05
instance-eb493f6e-ebb8-4e30-987e-fea4bd0cc0a2,22.25,7.25,5.01,2.38
instance-fb702c14-bf33-4ac5-8b57-1491efadb58a,19.59,7.25,15.07,0.62
instance-08132f0e-e334-4c88-b14c-ba93a8c5a2f2,3.43,7.24,2.73,0.1
instance-5132376f-4163-43b3-a615-3c4c5060e0b2,0.77,7.24,0.56,0.03
instance-b35a2452-6ce7-4c8c-b969-bfab15882437,17.29,7.24,3.06,1.97
instance-3f6f5d5f-567f-40b9-84c0-5f4a7bc6ffd2,7.11,7.23,4.34,0.38
instance-a59af638-bac4-46bc-a703-938f689d859d,11.32,7.23,7.06,0.59
instance-28688f17-f46b-4d56-b06a-b326d70d6490,12.63,7.21,8.5,0.57
instance-32f53794-fa58-4316-96e7-62053379e8b3,9.71,7.21,8.24,0.2
instance-8b5d8188-c96a-41cb-a915-de3599fbb735,6.49,7.21,5.21,0.18
instance-e1da93f4-6a36-4ef2-a9d9-a790a56503e3,3.58,7.21,2.98,0.08
instance-185d6e7c-0f41-4197-92dc-031a22e8b619,0.75,7.2,0.5,0.03
instance-d6291d4e-3782-47d1-82a6-d30b5e186210,9.25,7.2,8.31,0.13
instance-52abffc5-3cb6-4c52-80c9-beeb257cbfee,23.99,7.19,9.12,2.07
instance-6062bb6d-5d6b-42eb-bbd3-758323860143,2.88,7.18,1.57,0.18
instance-a7c60a58-5589-45c5-bde5-f3a50daadfe7,5.27,7.18,3.97,0.18
instance-c44116e5-96f6-42a6-9e16-eda012109a70,17.48,7.18,15.54,0.27
instance-e3b08176-e0f1-49dd-8d35-6a807bacce2e,13.11,7.18,9.52,0.5
instance-4ab180c9-5c30-4c63-b338-23e77db826b3,2.81,7.17,1.85,0.13
instance-9c03cd9a-3446-46c9-ab94-e038e1caecd1,27.49,7.17,6.74,2.89
instance-eab00bad-93fc-4362-8140-b8e5e429b885,14.64,7.17,4.23,1.45
instance-fe2cc954-5468-4230-83bf-8e7f0546a955,6.08,7.16,2.13,0.55
instance-411e4dbc-bc2d-4d0d-be85-f1fd5750333c,4.32,7.15,2.51,0.25
instance-5b550bc8-959a-4b2e-9521-67a3c16d3cd9,0.84,7.15,0.63,0.03
instance-b8ba3f36-ee6c-48fe-9d46-d2724e7d92bf,9.88,7.15,7.24,0.37
instance-322e434c-943b-4dd0-b843-6f13ade3cec7,18.64,7.14,9.08,1.34
instance-72338876-b4db-45ba-9cef-462fe3fad9da,10.53,7.14,5.56,0.7
instance-bbefffbe-483c-4c81-9906-5ce84557aae1,11.33,7.14,8.02,0.46
instance-86f0beec-6adc-4a6e-b96c-1aa9d4045112,5.16,7.13,1.73,0.48
instance-04f983e3-5723-43f0-a074-0b610a562bdc,4.96,7.12,2.92,0.29
instance-72feeaf1-893b-4a95-b3ff-3617dba775e8,13.91,7.12,7.71,0.87
instance-c5afa0f5-32cd-4fe3-a3b4-e3352f9a4791,5.65,7.12,4.52,0.16
instance-9aaab0a2-cdeb-466d-a9db-dc02cec7a235,18.44,7.11,15.44,0.42
instance-a2f96061-7d07-4dae-8f9c-7927f95758a9,17.55,7.11,15.59,0.28
instance-e8eba339-0637-473f-ab07-77fffffb07c8,11.89,7.11,8.23,0.51
instance-02654ca1-e13c-47e0-9ccf-6e3d381ac924,2.24,7.1,2.0,0.03
instance-31a3f306-c0ec-4c9d-8123-b08ae2bd8f57,4.91,7.1,2.76,0.3
instance-61717160-317c-420b-ae14-3132a0c5c296,4.61,7.1,4.11,0.07
instance-8742a869-881e-4313-b439-7da4c135a5b5,31.37,7.1,14.99,2.31
instance-c37c7b80-8dfa-4379-9937-092bfed2798c,5.46,7.1,4.05,0.2
instance-3698c36c-eb08-4be2-949f-b99582aa2495,4.92,7.09,2.79,0.3
instance-5fe5100b-69d6-4370-9b8a-fd6c45c6a0c6,6.24,7.09,5.0,0.17
instance-70daabc2-9215-4dcd-b67a-5c2034ba4d22,7.28,7.09,3.48,0.54
instance-d07604d7-2c36-46ee-823a-a6b0bdeebda7,4.54,7.09,3.7,0.12
instance-e25276ae-cb44-4d9f-8eb5-38a4a951c1ac,2.85,7.09,2.53,0.05
instance-2a01db09-dff1-4f44-921f-9363b4ba5a26,17.72,7.08,15.54,0.31
instance-340340f6-3546-4522-8be3-946d652ffcde,18.74,7.08,17.65,0.15
instance-30528d76-a8ea-4092-8a17-bb78638d1b45,18.11,7.07,16.11,0.28
instance-630edbff-e67d-4a7c-8136-2961a0020165,14.19,7.07,9.53,0.66
instance-8a80039c-a713-48ce-bb87-87d0ca39dd44,5.42,7.07,4.53,0.13
instance-95be5215-9f12-4c5c-b8eb-de7258629e75,22.46,7.06,4.84,2.5
instance-f440fd5f-812c-4a76-bed5-fadf78c6868c,28.44,7.06,2.95,3.61
instance-03a0f04e-277e-4844-af7c-442f0b08b9a8,10.58,7.05,8.77,0.26
instance-0a8704a9-adc5-4dd5-b523-cfc47be3db30,10.49,7.05,4.56,0.84
instance-2cc67b2f-debe-406e-b87c-a8845e8d44a3,9.4,7.05,8.26,0.16
instance-45aeb548-4728-489d-a322-41d9fc2319cf,9.4,7.05,7.47,0.27
instance-863f16cd-520c-498a-b33d-cdca921a68af,12.25,7.05,9.46,0.4
instance-d9bc8d08-6598-433b-a139-15be8e8968ae,3.96,7.05,3.27,0.1
instance-18fefc26-4386-4b3b-b392-93e8d46eda8e,19.25,7.03,5.22,2.0
instance-3ffec72d-ea04-4791-a9eb-82f44b85713e,16.29,7.03,13.78,0.36
instance-46257f3a-024e-4daf-99ca-a6a7ed7e2c5d,8.36,7.03,3.49,0.69
instance-5c3690af-e385-402d-b630-70ac42b96acd,9.33,7.03,8.26,0.15
instance-3f55f8f7-8e95-46f7-83dc-2417249da557,14.0,7.02,9.29,0.67
instance-851b804f-09ce-4bf3-b67e-b09b122ee818,9.77,7.02,8.36,0.2
instance-d262a2b4-23a5-4741-865b-1beb074a7949,2.29,7.02,1.63,0.09
instance-3c5e322e-bd48-4cbe-8e19-5b716a047a91,15.92,7.01,10.04,0.84
instance-738fdc73-7393-40de-ba2d-9077e38f47e5,9.22,7.01,7.58,0.23
instance-dbe74fc6-ef4f-4331-a964-0363ca389564,5.22,7.01,0.8,0.63
instance-efcf4198-a08e-4877-8bee-95149439df1a,17.44,7.01,15.92,0.22
instance-2985e00f-9689-442f-b92c-b87c1ab6b333,6.09,7.0,5.18,0.13
instance-6d37be0e-1bfa-4ec4-81dc-bfefc742587b,9.46,6.99,7.58,0.27
instance-fbd255f6-e238-403e-a30c-b5fbb39a093c,3.88,6.99,3.06,0.12
instance-2b26af37-3584-42da-9b7d-3b0dc9ca6203,12.88,6.98,5.06,1.12
instance-c482909a-c526-477c-b8b9-beaa4d098f67,44.83,6.96,25.08,2.84
instance-e9e0ca6e-ab2f-4479-9395-dd8fb72cbb90,6.11,6.96,2.25,0.55
instance-0b800d73-48c0-4ec9-b2f3-2ea290f1fb6c,2.22,6.95,1.37,0.12
instance-23467f7d-dd0b-44e3-b584-31dfe763cd4a,19.6,6.94,17.72,0.27
instance-58ae5c28-1fc9-4036-90c6-1b335dcbd6c5,3.62,6.94,3.21,0.06
instance-ceba89f0-5f3d-40a1-9dd4-65f433d9cce2,18.18,6.94,15.85,0.34
instance-5e8cb9f6-60cf-4b65-9a3a-8cf0673c0628,28.62,6.93,10.75,2.58
instance-eb26cded-ba43-4efe-9b87-3a5fc35a6b71,6.97,6.93,4.71,0.33
instance-3d350566-8cfd-4279-a841-05b64af2820d,7.34,6.92,5.75,0.23
instance-8975142a-3575-44ad-8459-84162aed00d8,9.86,6.92,7.68,0.32
instance-c9a10609-6ab1-4228-b90f-e567a2b75b14,6.62,6.92,2.89,0.54
instance-ec4325df-484c-4318-8a8d-3a4bff652da2,3.66,6.92,3.24,0.06
instance-1ee76f72-ec82-4d0b-8ad3-26471ec92402,6.27,6.91,4.5,0.26
instance-48db57b1-2772-449c-b5fc-8105cdf29933,10.78,6.91,6.09,0.68
instance-851e173c-3e90-4eae-815c-da1ae723a3d9,12.35,6.91,8.71,0.53
instance-91b5a444-4564-4114-943c-0fd048f42992,7.23,6.91,5.55,0.24
instance-2faa163f-c36c-42db-8701-025e4a7d2444,19.48,6.9,7.82,1.69
instance-33c27bad-3565-4662-994c-f8600f4978d1,10.71,6.9,8.65,0.3
instance-3521d096-4eec-44c9-9caf-af38c79a5ee6,6.5,6.9,4.11,0.35
instance-5046dfe0-44f8-4782-b200-5527db773b54,13.75,6.9,12.42,0.19
instance-a4815afc-f2fc-4e2a-9c8f-a5e217dfe57e,9.24,6.9,8.27,0.14
instance-af69ff15-3564-4211-a597-a315f88c4f12,21.69,6.9,17.6,0.59
instance-d7895907-d66e-42f5-98ed-e89b28774d36,11.2,6.9,10.38,0.12
instance-f8f71fb9-9cba-410f-8492-37bfe11e8ebf,6.71,6.9,3.02,0.54
instance-14d6ac02-f75b-4aae-8f0c-84f8e3d283f7,13.28,6.89,6.7,0.95
instance-6bcebe81-73d2-4a79-ba03-9e7ad127dc81,9.94,6.89,1.36,1.24
instance-6e95ab17-e747-4cc4-bf39-3f4d5854802f,5.52,6.89,3.13,0.35
instance-9c0cacdf-5086-46db-a11f-323a4ef41bef,18.34,6.89,5.72,1.83
instance-ad00cc88-b730-4cad-aad1-0bc0dcc376c9,5.8,6.89,2.02,0.55
instance-1177446e-d04d-4974-b4b6-b966bc2dd1e8,6.27,6.88,5.02,0.18
instance-1c61c903-24ec-4284-ab01-8c06fd9d7167,9.24,6.86,3.48,0.84
instance-dc23ecd6-7a52-4334-8ed0-0e512d497208,16.86,6.86,14.13,0.4
instance-0193d41e-9dc2-44de-8403-ad85dde9d52c,0.63,6.85,0.49,0.02
instance-9aa657cd-cb73-4851-b52d-41d7c24841aa,8.55,6.85,1.26,1.06
instance-2bd6a5a1-556d-4603-94cc-2a2c51c909be,8.15,6.84,2.89,0.77
instance-3f1ae4cb-0555-498b-983a-46080acbfb39,4.94,6.84,3.43,0.22
instance-5b17834a-87bb-4942-bd2f-f6ae8e88c3c4,3.87,6.84,3.13,0.11
instance-ce8b76e8-9387-4325-b912-fbf7965ddc03,7.52,6.84,5.9,0.24
instance-ad7cdb3f-3ad2-4dad-8905-efb9a19c4105,4.7,6.83,4.26,0.06
instance-028b866a-5e76-43fe-9a35-c40ca94b30ef,17.42,6.82,15.47,0.29
instance-29c8d391-efa9-4cb2-a43c-d842040d8e80,33.55,6.81,17.57,2.35
instance-7c88dfec-4089-4120-94e9-b96664b7f3b5,0.21,6.81,0.13,0.01
instance-81241c93-ff73-4db3-8749-6efade368b3a,27.62,6.81,25.03,0.38
instance-981915c1-326b-4b37-a4b2-220d608eb2b7,20.28,6.81,5.89,2.11
instance-bee841e5-68e3-4f94-9902-6270df31e023,2.84,6.81,1.55,0.19
instance-1c5465a0-4551-4a55-af57-0d65edd95204,5.89,6.8,5.01,0.13
instance-40a32f41-79fb-4fa6-9999-505bb777b5ae,17.56,6.8,15.19,0.35
instance-6c1c6e4f-d0da-4d64-88d3-99a32be55829,11.1,6.8,7.79,0.49
instance-a39f5c6c-b1db-490a-a6b6-ae5376b1159f,7.57,6.79,4.55,0.44
instance-c71363a4-3db6-4cb1-a7b1-7cf9cd891135,13.66,6.79,8.38,0.78
instance-e5e68d7b-7b5d-4aea-ba40-fde4d154b372,0.35,6.79,0.26,0.01
instance-5b0f309e-13ea-4958-bc40-53ee26cc6c54,9.69,6.78,5.25,0.66
instance-93927c86-f251-4c5b-9017-2d1fc1705000,12.34,6.77,7.21,0.76
instance-943c5aba-de9a-4440-8a57-2a55552d32e5,18.26,6.77,15.81,0.36
instance-06886207-ce9a-4a36-af25-48a7dbd4a906,14.92,6.76,13.01,0.28
instance-621d98b5-3f9c-468a-8a00-554fdfe813cd,3.87,6.76,3.47,0.06
instance-801fcad0-bc62-4bef-88bf-e50fd0399e67,26.35,6.76,8.34,2.66
instance-bf4e020b-ba6f-4153-b0b1-1f8638c67ecb,15.9,6.76,10.77,0.76
instance-4a170fe8-8b9f-44ca-b973-63c545a9918d,37.43,6.75,9.61,4.12
instance-4c2be2bd-bc44-4832-92e5-54ba902e9faa,4.9,6.75,0.77,0.61
instance-a28b12e9-1167-4e55-8dd3-14370f977757,17.94,6.75,16.03,0.28
instance-e40bce13-dc2f-436c-9769-847cfda834ba,17.49,6.75,15.79,0.25
instance-f1c474b8-f05a-42f8-8dcd-2d0ffea59166,1.6,6.75,1.31,0.04
instance-0878e7bb-dc99-458b-95ed-6c0018212013,2.76,6.74,2.26,0.07
instance-2cfed38c-8476-4b66-b5c0-e1fe15c7dfef,22.38,6.74,17.06,0.79
instance-929a4973-64bc-419a-af64-dbd5d70b5148,96.69,6.74,93.04,0.54
instance-b5bc661f-9d66-4967-8e97-2043464f8291,4.1,6.74,2.25,0.28
instance-012b5deb-6883-4f5a-9a59-ef9828494bc7,7.73,6.73,3.37,0.65
instance-b371e7db-bfb6-445f-b4f3-ec4a21af54c1,1.94,6.72,1.62,0.05
instance-8704c767-aba0-4d63-be2d-d75340f28ede,4.57,6.71,3.52,0.16
instance-dde69fcc-2dce-4abb-8187-2f22f9fa8e10,4.92,6.71,2.83,0.31
instance-02f8e081-e83a-4e04-8831-77355861d295,6.98,6.7,1.74,0.78
instance-0620acb9-92a4-4d17-ba97-dee0b099cf0d,7.31,6.7,5.27,0.3
instance-a2f2f684-59e5-4fa2-abb1-0fe1e66f7c01,5.42,6.7,4.68,0.11
instance-7eb0bdea-bf99-452c-b2e4-ab290830ee16,12.02,6.69,6.92,0.76
instance-c69d3494-3c82-4495-ba10-c31358cdb83c,2.6,6.69,2.02,0.09
instance-d022122b-712e-47ab-980e-faeef4cf7925,11.62,6.68,9.28,0.35
instance-d59edbf4-20a1-4ce1-abb3-932b42db03c7,4.27,6.68,1.5,0.42
instance-2f757b12-102a-4320-ace7-8629649a75a6,17.84,6.67,16.24,0.24
instance-6332581b-2c0f-4713-8e59-8e40bc9bbf31,3.76,6.67,2.33,0.21
instance-f7e16d09-58be-4565-aa87-cda51f565136,21.12,6.67,17.68,0.51
instance-111ce437-3cd5-4cc3-8578-6b182f489ee6,5.47,6.66,0.88,0.69
instance-2b193726-c79c-4749-8a3f-2a1fbe216357,8.7,6.66,4.41,0.64
instance-91306a32-b09d-4235-9954-1700610a418f,4.3,6.66,2.92,0.21
instance-bfd183b3-33d5-4a29-a3ac-173a4cb685ab,13.75,6.66,6.08,1.15
instance-d643814d-26e2-4a57-8ca8-afd881122049,54.38,6.66,22.21,4.83
instance-8d98aef7-19a1-4322-89c2-a0ac70ab7c53,3.1,6.65,2.07,0.16
instance-96d8a575-6910-45d0-9a47-6dbc069309c4,27.78,6.65,6.5,3.2
instance-d891a794-d726-40d1-a868-7f90bc07a4ef,5.73,6.65,4.29,0.22
instance-429492b7-dea3-4163-8d30-0b5b904f3f53,3.67,6.64,2.75,0.14
instance-b01f0ec9-aa56-4e7c-92f1-5e2fbc8f1b3a,14.38,6.64,6.19,1.23
