instance,recent_max,z_score,historical_mean,historical_std
instance-ce443729-97da-42d8-bfc0-8b82586e8fd1,40.39,83.2,4.8,0.43
instance-ebd3ef7b-c703-4917-915a-1b3463280d17,8.36,82.86,3.5,0.06
instance-19d7dd4f-c638-4f41-8cab-3f141b6e6482,27.22,81.93,1.4,0.32
instance-54f1c84d-56c2-4f16-b085-344bfb637d95,20.5,81.93,4.21,0.2
instance-2197cf19-c8e8-438f-be31-65bd8f1bc878,16.75,81.9,1.02,0.19
instance-5c19acf4-aba7-4e48-8698-68e485f03bee,37.77,81.66,15.19,0.28
instance-47ccaf09-cd36-4cc2-9960-33243beb5c97,47.52,81.33,0.58,0.58
instance-bf769737-18ba-4229-bd33-487404397872,7.92,81.27,3.29,0.06
instance-20044f82-6927-4942-a38c-5a9bdf54026e,50.43,80.76,8.1,0.52
instance-54cacd6f-2da6-4ab0-98be-c591d28cb022,29.92,80.05,8.45,0.27
instance-1ea3c8ff-c642-4238-af31-8e7f66e443b3,10.11,79.4,0.96,0.12
instance-7d179d6f-593c-45b7-b780-2d441eae1d19,9.87,78.75,3.4,0.08
instance-8ab9204c-bba8-4dc6-b60d-cc9018df2359,4.04,77.31,0.64,0.04
instance-adc0d9ad-3c97-45a9-8a1a-784b1425dac4,15.64,76.61,1.04,0.19
instance-c6d7aac4-da16-466f-8bc1-4b1f2f5d4af5,30.26,76.07,6.44,0.31
instance-45c3659f-02f4-4f6b-8927-28668dfef644,10.11,75.03,3.94,0.08
instance-82dcc1e6-5065-4450-966d-df1d756778d5,8.75,73.79,1.27,0.1
instance-bb007f4a-45c8-46fe-b078-3a53ad7c6054,9.71,73.67,3.46,0.08
instance-ff27b1bf-0423-4b10-ab80-e94c614672c1,7.95,73.58,3.64,0.06
instance-d3a297a7-1106-45a3-855b-4ef5d6748618,4.46,73.39,0.28,0.06
instance-4ada6a91-47e4-49df-9dce-4bd9b085734d,7.06,72.74,1.16,0.08
instance-24abee6e-c45b-4073-af43-8adaf662c2b0,99.15,72.42,15.33,1.16
instance-e734accd-61e6-4dc0-a36b-b48be274e0e8,5.85,72.34,1.95,0.05
instance-cb926eb5-1e0a-4c77-acc1-bccad73130ec,11.83,70.46,4.32,0.11
instance-24af25a5-836f-4ea4-9fd8-522f4eee7894,37.8,69.55,8.84,0.42
instance-4212a498-deb4-4159-9110-d6cf6e5df0d8,9.25,69.05,1.48,0.11
instance-0c525886-7558-4a4a-811b-d757104de68e,7.87,68.93,1.21,0.1
instance-edad1b68-f5ab-4975-bd4e-1c5c50543d31,5.19,68.64,2.39,0.04
instance-70e456da-84c0-43b7-8aa6-6a550a205566,26.15,68.55,6.17,0.29
instance-c279c97a-61d4-45a2-8c80-ed98ea63268c,16.01,67.79,1.06,0.22
instance-97ea416e-2c52-4a7f-8897-18815f789426,22.41,67.52,1.1,0.32
instance-f8d75b08-0ef4-41a2-bc7d-5f6f6cbd66e5,31.04,67.34,5.28,0.38
instance-dcca3b35-2925-4221-b3b6-78939f248d33,8.02,67.18,3.35,0.07
instance-f881290e-e065-447a-b17e-6524a995f3a5,7.21,67.11,0.44,0.1
instance-c7ca1d3d-86b2-43ac-a81c-e146224e0a7c,5.61,66.94,1.27,0.06
instance-3c257b89-58e4-432e-ba2d-0c7173b2b81f,5.33,66.67,1.88,0.05
instance-b7153559-7483-4d3c-a198-d3e9af573526,9.28,65.64,1.36,0.12
instance-a8799106-ef98-43f8-a39a-f51e913c610d,9.19,65.19,1.01,0.13
instance-1e74e36f-6a11-4dab-bd00-62dafaafd824,4.84,64.71,0.98,0.06
instance-90caf81d-af82-453f-8471-b2e8987cda6c,32.12,64.6,5.78,0.41
instance-aee72b44-791b-40d6-80fc-e4122a43c0f3,9.57,64.53,2.17,0.11
instance-d5b6ffe7-b2db-4008-b066-0fd71b6b379f,10.21,63.86,3.47,0.11
instance-e4489ad8-d753-46e5-87e1-06b53ead3467,46.92,63.05,1.22,0.72
instance-48ee3aa1-05e8-4a18-8f52-6ab68d040495,7.82,62.26,3.55,0.07
instance-eea0bdbd-96c6-4251-83fa-b9902d7edbc6,15.11,62.24,0.98,0.23
instance-ac7b5611-5d0a-419a-acab-0eeb9c334716,6.55,62.09,1.27,0.09
instance-23e4704e-3cc6-46f1-acd3-cbf01963e3ec,4.32,61.75,0.9,0.06
instance-f36a2fa4-1ef9-4482-9cdd-4e03eabc3cd7,12.19,61.11,2.4,0.16
instance-e354da97-05c4-4feb-9237-3cb47f14b56f,8.62,60.78,1.44,0.12
instance-999f932c-9cf8-429a-9860-5dfba8dcdd56,8.71,60.5,1.28,0.12
instance-b17ffb9d-72c7-4296-9403-3e3ae69d2ad2,32.81,60.28,6.78,0.43
instance-4e2d55f4-24bd-4475-8ca1-a73000d131df,9.86,60.09,1.97,0.13
instance-c2c90667-0001-4a7e-8b70-87a87c36e2a7,17.45,59.54,5.04,0.21
instance-aea57468-8d18-4c51-a35a-3dc4c0c2d716,8.1,59.45,3.2,0.08
instance-cf7f8e57-5f4a-49b7-900d-8582393cdefd,11.44,59.34,6.28,0.09
instance-20304033-3c55-4c3e-a6d8-26bef5c98ade,5.55,59.26,1.24,0.07
instance-80fd811a-9b2e-4d0e-8625-19c3468ca633,6.35,59.16,3.4,0.05
instance-1545a7a4-1ffc-4c2d-b2d8-14c64a4e1a6e,11.71,59.02,2.29,0.16
instance-8eee82ca-c209-4176-9b46-fd0edff41d68,4.12,58.44,2.04,0.04
instance-65e2efa3-87b4-4cc2-819f-7b9c73746832,47.3,57.85,9.88,0.65
instance-fea861d3-9795-4481-b98b-48baa7198788,23.52,57.75,8.51,0.26
instance-0f31a8f7-4740-48e2-8406-b1e9d6077148,14.88,57.62,4.72,0.18
instance-8356c677-1f1e-41ae-9fc8-83b58bd8eb43,41.75,57.39,2.43,0.69
instance-8f2a3d4d-5fe5-43de-a512-fe409ce18590,7.11,56.74,1.85,0.09
instance-55ec3ba1-f949-4f55-bd45-a3b5563f6d3b,2.34,56.35,0.27,0.04
instance-8bb62263-7611-49aa-aeb1-bf7f9275fbf0,5.18,56.21,1.18,0.07
