instance,actual_cpu,pred_low,pred_mid,pred_high,action,risk,monthly_savings
instance-0041c59d-8270-40c2-9f00-dbeadef3607f,1.0083333333333335,0.9062398,1.9374526,1.5634356,terminate,safe,0.0
instance-004244a3-6977-4f94-8288-b0a65a0bb860,2.34,1.9273125,3.933191,4.1928244,terminate,risky,0.0
instance-00430d0e-3a8d-44eb-833d-09819ca8b621,3.42,3.1822288,4.370978,5.934566,downsize,safe,0.0
instance-00438570-846b-4d71-9b40-ed091ad4f790,18.338333333333335,14.042335,16.013178,19.166302,downsize,risky,1.6973634869893404
instance-00441201-383c-4499-9d3c-864a36eebd4d,6.303333333333334,5.718683,7.0230756,8.430068,downsize,safe,0.0
instance-004805cf-fd37-4f6a-a726-2f8510a59424,10.321666666666665,5.69823,7.3519397,10.448148,downsize,safe,2.1679007015864045
instance-0049284e-537b-41a6-a5d8-71d47905c47a,4.683333333333334,4.3851147,5.086293,5.824156,downsize,safe,0.0
instance-004938a3-2bf0-4abd-8a75-b9e582dbb4b4,6.796666666666667,0.24467073,3.3078232,8.5148945,downsize,safe,2.5468557444254563
instance-00494485-6870-4068-8c5d-3990ddc03e18,2.565,2.412326,3.408412,4.098343,terminate,risky,0.0
instance-004a3677-6430-4d8f-9923-7b0e14360b79,0.7,1.5207382,4.666215,6.6521745,downsize,safe,0.0
instance-004f3b48-9e2b-45e1-941c-57b569167e67,4.546666666666666,4.2190285,4.625701,5.431473,downsize,safe,0.0
instance-0051d788-00af-43e2-b4e9-eb45fc14d079,11.190000000000003,10.269373,11.537149,13.444975,downsize,moderate,0.0
instance-00525c42-631d-4f0f-a534-1cdf042ade30,8.758333333333333,4.2683306,8.344181,10.438986,downsize,safe,0.3023311589558916
instance-0052d21e-5917-4c58-8fc2-ea0a2d7a4830,2.56,2.3911798,2.7430725,2.9031045,terminate,moderate,0.0
instance-00548100-5c66-4cf7-bfa1-6c441f2d5478,0.36999999999999994,0.26623973,1.6158414,0.5412703,terminate,safe,0.0
instance-00562ac8-eb3e-425a-85a3-d5010c13249f,15.763333333333334,11.401619,14.62305,16.455154,downsize,moderate,0.8324070260365807
instance-00569d01-137c-4aea-877b-515c9172b140,2.135,1.9406445,3.357742,5.0870204,downsize,safe,0.0
instance-0056acc3-7343-43a3-b558-c8e4baede97f,16.07,6.432127,13.173242,17.182426,downsize,risky,2.114633620834351
instance-00582077-32f9-45a7-9ee1-6971caf8ccff,8.641666666666667,5.411282,9.009896,11.994712,downsize,safe,0.0
instance-0059a2d7-b380-4c6f-94ad-262016b8aabb,5.516666666666666,1.6722714,5.1658697,8.367057,downsize,safe,0.25608177630106543
instance-005d98e4-281f-44a0-b28a-ba9e88b11c04,7.626666666666666,5.2864017,8.636002,11.75352,downsize,safe,0.0
instance-005ddab0-297f-4c1a-b83a-08f622190694,2.7175000000000002,2.433617,6.7920165,5.7269087,downsize,safe,0.0
instance-005e7fb3-2b55-43dd-9d62-b8ab94595a5a,3.6249999999999996,3.4680884,3.559084,4.2381353,terminate,risky,0.04811872482299773
instance-0060c8ad-9280-415f-8988-bb5d5d55f156,13.023333333333332,4.0922995,8.573437,12.320172,downsize,moderate,3.2484245152791327
instance-006252d3-96f1-4cd1-8306-aaba5dfb7f03,1.3816666666666666,1.2602586,1.9374526,2.0340154,terminate,moderate,0.0
instance-006524d9-ef51-44cc-a4e1-a61af491fbec,4.871666666666666,4.593724,5.223792,6.30166,downsize,safe,0.0
instance-00655607-7797-4976-9f61-162c951d8966,4.531666666666667,4.3699226,4.955399,5.819308,downsize,safe,0.0
instance-00660cfe-9c21-4a17-9aa0-d5412f2e47f6,4.4383333333333335,4.259343,4.7011204,5.466912,downsize,safe,0.0
instance-00666585-96bc-41c8-95ac-165f60968c1a,7.713333333333334,5.53475,7.393129,8.830116,downsize,safe,0.23374925683339473
instance-0066bba3-24c8-4757-b874-c5aada32d3ea,7.403333333333333,5.8618994,6.710121,8.254287,downsize,safe,0.5060448903401693
instance-0066bd5c-49c4-4c6b-a76e-2a124bac80c2,2.405,2.3559759,2.580978,2.692107,terminate,moderate,0.0
instance-006a52d6-57fc-41a5-9cfb-ae12f21c8f6f,0.7983333333333333,0.68898857,1.6158414,0.97827286,terminate,safe,0.0
instance-006bbb97-ad84-427b-a92d-abf5501a1ec4,3.561666666666666,3.2610672,3.4844654,4.0847344,terminate,risky,0.05635695339838622
instance-006c4a81-b0b3-4317-8e46-04b272f80406,5.158333333333334,2.4935873,4.023979,6.024672,downsize,safe,0.8280785268147792
instance-006c73e6-3ab9-4f1e-b083-a019b2c312fd,1.7616666666666667,1.5606958,2.0851903,1.8938178,terminate,safe,0.0
instance-006d2c38-06b1-43ed-b240-ddf62ac11700,15.986666666666666,11.331295,15.153702,17.1278,downsize,risky,0.6080643656412759
instance-006f689d-b10f-474d-93e3-b3be33ead761,13.003333333333332,8.813458,14.0430765,17.139656,downsize,risky,0.0
instance-006f9697-02a1-4866-92b6-c63d3758d107,6.8725,7.717373,13.450233,17.50571,downsize,risky,0.0
instance-006fada3-d407-4df3-9720-89e92fcd5b6b,1.6883333333333332,1.8415916,2.2955892,2.4607952,terminate,moderate,0.0
instance-006fe0c4-bc04-4846-8f88-1db122636dd2,1.1633333333333333,1.0747845,1.9374526,1.5414851,terminate,safe,0.0
instance-0070274b-7deb-408c-8403-50be1ec3d5f2,16.76,11.851121,15.691993,20.529917,review,n/a,0.7796452854156506
instance-0071c3c5-b4e2-443d-986d-bf74401d0050,16.458333333333332,9.495684,15.606081,19.685709,downsize,risky,0.6221441968282055
instance-0072c44b-67e1-41ce-a088-017a94bbe272,2.2533333333333334,5.6327496,9.164933,12.482518,downsize,moderate,0.0
instance-007305fe-2e1a-4c83-a036-6e042703cf86,10.316666666666668,10.047667,11.170258,13.565949,downsize,moderate,0.0
instance-007485b3-3508-4076-b8a6-dbe425977353,2.8200000000000003,2.3324068,2.6947863,3.0742424,terminate,moderate,0.09140599355697653
instance-00752ae8-d36a-4d98-92c6-b3bcdfab5d7f,8.475000000000001,6.209298,8.506869,10.053515,downsize,safe,0.0
instance-0075c81a-27d7-4bd2-b3f0-b106ce0ae4b9,8.258333333333333,4.2633796,6.093517,8.221823,downsize,safe,1.5803160498936968
