instance,cpu_mean,cpu_median,cpu_p5,cpu_p95,cpu_min,cpu_max,cpu_n,mem_mean,mem_median,mem_p5,mem_p95,mem_min,mem_max,mem_n
instance-3f595a8d-88eb-472b-bfc3-da750fe170ab,2.4851,2.4851,2.4851,2.4851,2.4851,2.4851,2,18.0404,18.0404,18.0404,18.0404,18.0404,18.0404,2
instance-3f59907f-5584-47c9-9280-d6f7d7224d62,6.1463,6.1463,6.1463,6.1463,6.1463,6.1463,2,24.3712,24.3712,24.3712,24.3712,24.3712,24.3712,2
instance-3f5ae432-7e39-4b25-acf6-3a3f3a32d154,0.2823,0.2823,0.2823,0.2823,0.2823,0.2823,2,3.438,3.438,3.438,3.438,3.438,3.438,2
instance-3f5c25ed-a51f-459a-b0f0-0406fe56b46b,4.324,4.324,4.324,4.324,4.324,4.324,2,6.4235,6.4235,6.4235,6.4235,6.4235,6.4235,2
instance-3f5ce2f2-1fd5-4ddb-8893-ff402bcd7745,11.1356,10.8965,10.5708,12.5655,10.4935,12.5843,71,97.7258,99.6272,90.809,99.6569,90.1578,99.6569,71
instance-3f5d5a49-946d-428c-b541-3544de8b9675,2.8142,2.8142,2.8142,2.8142,2.8142,2.8142,2,19.4516,19.4516,19.4516,19.4516,19.4516,19.4516,2
instance-3f5d619d-970c-4626-aea3-b6e4268f07ab,2.9516,4.4443,0.4943,4.8053,0.4943,4.8053,21,64.3989,74.8621,36.9535,88.0871,36.9535,88.2217,21
instance-3f5d989f-0b48-4767-82fd-7c2ba2253443,1.2164,1.2194,1.0637,1.5257,1.063,1.6072,60,99.955,99.9573,99.9295,99.9573,99.9295,99.9573,60
instance-3f5f0053-290e-491c-a4ad-6ea8abb068d7,5.8669,5.8669,4.8917,6.8421,4.8917,6.8421,4,88.0983,88.0983,78.667,97.5295,78.667,97.5295,4
instance-3f5f6dcc-182b-49f5-be4e-12acfcd9daeb,3.5775,3.5775,1.6067,5.5483,1.6067,5.5483,4,83.4064,83.4064,82.4894,84.3235,82.4894,84.3235,4
instance-3f60d9d2-efe4-4baf-b07d-210b24547fd9,1.8768,1.6206,1.6205,2.3893,1.6205,2.3893,6,83.9044,84.0314,83.6505,84.0314,83.6505,84.0314,6
instance-3f61e680-c87a-4e26-8944-888fbf8f3929,12.4834,13.1667,9.4801,14.3661,9.4801,14.3661,27,98.4126,98.4206,98.3587,98.4467,98.3587,98.4467,27
instance-3f6283f6-3543-4df0-b9fc-dac5037b80be,3.6946,3.5671,3.2547,3.9841,3.254,7.3997,62,99.9898,100.0,99.9467,100.0,99.9444,100.0,62
instance-3f637668-3c5f-4bfa-8966-7bdb086c0195,2.9481,2.9481,2.5272,3.3689,2.5272,3.3689,4,9.5643,9.5643,8.1615,10.9672,8.1615,10.9672,4
instance-3f6421e9-62d8-4021-9938-b206a64fd653,10.1742,10.1742,3.3684,16.98,3.3684,16.98,4,66.0977,66.0977,33.5827,98.6128,33.5827,98.6128,4
instance-3f64e332-9abf-4a9a-b90a-506ec85bd0ba,99.9544,100.0,99.8416,100.0,99.8416,100.0,7,99.9921,100.0,99.9722,100.0,99.9722,100.0,7
instance-3f650853-6bdb-4212-8492-d8986afd5900,0.6401,0.6211,0.6067,0.7103,0.6067,0.7103,13,99.6301,99.6299,99.6278,99.6343,99.6278,99.6343,13
instance-3f65972e-b095-4299-8915-716b1fe61a8a,3.6418,3.6418,3.6418,3.6418,3.6418,3.6418,2,39.79,39.79,39.79,39.79,39.79,39.79,2
instance-3f65c1ae-7dd4-4ab9-b251-fee83eb99f6f,15.2507,14.6015,5.9681,25.1826,5.9681,25.1826,6,78.4279,91.6088,51.5542,92.1206,51.5542,92.1206,6
instance-3f6603b4-9991-4552-9b02-fde5df3baca2,11.0994,11.0994,11.0994,11.0994,11.0994,11.0994,2,91.7045,91.7045,91.7045,91.7045,91.7045,91.7045,2
instance-3f678996-d0cb-41e7-96f3-e5d978b14ebd,64.5178,64.5178,64.5178,64.5178,64.5178,64.5178,2,88.8619,88.8619,88.8619,88.8619,88.8619,88.8619,2
instance-3f6790a5-3e88-447b-a1bf-acdcab21bbdb,2.9991,2.5623,2.3607,4.511,2.3607,4.511,8,91.0697,91.3646,81.8115,99.7382,81.8115,99.7382,8
instance-3f67ec45-c967-42f8-8242-72d8cac6a96a,11.4131,12.1822,4.8131,15.7655,4.8131,15.7655,12,96.4458,99.7286,82.6098,99.7734,82.6098,99.7734,12
instance-3f686c41-ee80-48e8-97cf-cfdf79101e45,6.5413,6.5413,0.5282,12.5544,0.5282,12.5544,4,28.9598,28.9598,28.368,29.5515,28.368,29.5515,4
instance-3f688d7b-e318-4656-ada8-0bf91a055016,6.3444,6.7557,3.6608,7.3761,3.6608,7.3761,37,99.8288,99.8288,99.8288,99.8288,99.8288,99.8288,37
instance-3f69073b-1d72-4f85-9667-f8c35b82586a,2.3873,1.7359,1.682,5.0399,1.682,5.0399,10,78.9853,80.3225,73.1787,81.0157,73.1787,81.0157,10
instance-3f6939b8-ec4d-4d44-8a9e-b519c35b4b64,7.0273,7.1794,5.5439,8.7523,5.3205,9.1121,74,99.9087,99.9145,99.8775,99.9145,99.7664,99.9145,74
instance-3f694395-34d8-4c52-a807-29f6ed7add9c,3.7,3.6559,3.4995,3.9856,3.4995,3.9856,12,99.5443,99.913,97.6353,99.9999,97.6353,99.9999,12
instance-3f69f986-743c-48f0-b1cf-d544cac5f00c,9.7822,9.7822,9.0479,10.5165,9.0479,10.5165,4,61.9745,61.9745,61.1589,62.7902,61.1589,62.7902,4
instance-3f6a17a0-7871-446e-b052-8c5424cdcfe7,4.5418,4.5418,4.5418,4.5418,4.5418,4.5418,2,32.8517,32.8517,32.8517,32.8517,32.8517,32.8517,2
instance-3f6bc61f-0ea3-4ebb-a41d-f79a80a8d59c,16.1266,16.7412,5.9253,30.5918,5.9253,30.5918,15,97.7317,97.8483,97.0136,97.8494,97.0136,97.8494,15
instance-3f6c2a6f-a16d-47ed-8f9d-b10555103f75,3.1363,1.718,1.7114,5.9794,1.7114,5.9794,6,77.3364,77.7612,75.8182,78.4298,75.8182,78.4298,6
instance-3f6c36e6-f72c-4163-b75d-71833f4e9ced,5.2122,5.2122,5.2122,5.2122,5.2122,5.2122,1,34.2925,34.2925,34.2925,34.2925,34.2925,34.2925,1
instance-3f6ddf8f-a677-4bdb-8eb2-121d938aa6c9,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,2,11.4251,11.4251,11.4251,11.4251,11.4251,11.4251,2
instance-3f6ea910-eb34-4478-b406-1252261edb2a,3.2464,3.1417,2.9426,3.9276,2.8288,4.1609,62,94.7512,94.8243,93.9817,94.8373,93.9691,94.8379,62
instance-3f6eefa5-cc1f-46bb-9161-823e6dd1478b,4.1492,4.1492,4.1492,4.1492,4.1492,4.1492,2,33.6673,33.6673,33.6673,33.6673,33.6673,33.6673,2
instance-3f6f41d1-c64c-4794-8c0a-c0d19a3c66d8,6.5464,6.5464,6.5464,6.5464,6.5464,6.5464,2,46.1993,46.1993,46.1993,46.1993,46.1993,46.1993,2
instance-3f6f44c3-25e0-4cd4-91a3-0ce73b8295f8,0.3872,0.3872,0.3872,0.3872,0.3872,0.3872,2,4.4089,4.4089,4.4089,4.4089,4.4089,4.4089,2
instance-3f6f5d5f-567f-40b9-84c0-5f4a7bc6ffd2,4.4929,4.2296,4.0591,5.487,3.9538,7.1114,62,99.6555,99.6569,99.643,99.6569,99.6292,99.6569,62
instance-3f703678-7a4d-4ae9-83e3-ca521110873c,1.576,1.576,1.576,1.576,1.576,1.576,2,15.0147,15.0147,15.0147,15.0147,15.0147,15.0147,2
instance-3f708716-bfc8-42c0-b448-b879ea5ab914,16.3255,17.4575,10.8852,17.9075,10.8852,17.9075,15,98.6239,99.8062,90.9428,99.8062,90.9428,99.8062,15
instance-3f71ded3-06f3-49bb-abb1-9ab25411898c,47.5441,47.5441,41.672,53.4162,41.672,53.4162,4,98.0987,98.0987,96.1975,100.0,96.1975,100.0,4
instance-3f71ebed-8e8a-4b60-b0dd-b59d7d0e8e1f,12.9124,13.5722,9.9511,14.6003,9.9511,14.6003,10,95.2519,99.6963,80.778,99.7076,80.778,99.7076,10
instance-3f721382-17d3-4301-a70d-6096573fbd41,4.752,4.4898,3.9475,6.294,3.9341,9.6976,60,99.6427,99.6496,99.6086,99.6502,99.5947,99.6502,60
instance-3f72d372-1292-491c-9f6a-15f9dfd12121,1.5638,1.9565,0.8814,2.1432,0.8814,2.1432,5,99.844,99.8444,99.8432,99.8446,99.8432,99.8446,5
instance-3f7395df-c1af-4433-ad5c-820ddab539b8,3.8764,3.8764,1.6284,6.1244,1.6284,6.1244,4,81.7837,81.7837,79.7323,83.8351,79.7323,83.8351,4
instance-3f74f0ae-9f44-4811-9e39-24d0a7cb8ff7,5.8374,5.8374,5.8374,5.8374,5.8374,5.8374,2,53.0516,53.0516,53.0516,53.0516,53.0516,53.0516,2
instance-3f757cc3-9670-4ffe-9f08-9ef7fa23efbb,0.7285,0.7312,0.6884,0.7794,0.6873,0.7948,64,99.4712,99.4704,99.4695,99.4834,99.4695,99.4834,64
instance-3f76e21d-5f7d-4861-8ae1-9e7a4f5c98b4,3.7152,3.7152,3.7152,3.7152,3.7152,3.7152,2,21.1264,21.1264,21.1264,21.1264,21.1264,21.1264,2
instance-3f78fd16-d5cf-4cc8-9f43-c2ef7a9378e0,4.985,4.985,4.6561,5.3139,4.6561,5.3139,4,49.119,49.119,44.9783,53.2596,44.9783,53.2596,4
instance-3f799955-9cfd-497e-9349-a4074729772d,4.8048,4.6902,4.3401,6.2646,4.3116,6.2912,64,98.9022,99.2733,96.5603,99.3486,96.5178,99.3548,64
instance-3f7a1bb1-61f5-472c-b0ce-37aa3c8b0bd2,10.0122,10.0122,10.0122,10.0122,10.0122,10.0122,2,66.7011,66.7011,66.7011,66.7011,66.7011,66.7011,2
instance-3f7b1044-8fc6-411c-9fec-eb45888d104a,0.3632,0.3453,0.2939,0.4548,0.2939,0.4548,14,9.512,9.4445,9.2648,10.0859,9.2648,10.0859,14
instance-3f7b9bf9-3931-4fcf-92df-d151f7f6efb8,12.9797,12.9797,12.9797,12.9797,12.9797,12.9797,2,97.9959,97.9959,97.9959,97.9959,97.9959,97.9959,2
instance-3f7c77b2-6742-4560-b963-e6a3051a3035,1.774,1.774,1.774,1.774,1.774,1.774,2,13.5839,13.5839,13.5839,13.5839,13.5839,13.5839,2
instance-3f7cfeaa-dd35-433d-a708-9d9a66fabd06,2.3674,2.3674,2.3674,2.3674,2.3674,2.3674,2,18.9677,18.9677,18.9677,18.9677,18.9677,18.9677,2
instance-3f7dfde4-0aee-4456-b183-5188e4355be8,2.955,2.955,2.955,2.955,2.955,2.955,2,22.7687,22.7687,22.7687,22.7687,22.7687,22.7687,2
instance-3f7e5095-052a-4c18-a2fc-a982fc10bbba,7.0022,3.5708,1.4322,33.8039,1.235,38.2727,62,99.8978,99.9022,99.8745,99.9022,99.8467,99.9022,62
instance-3f7edfec-d07d-43cf-baa6-ec357ffb8f2f,6.6119,3.6309,2.8475,32.0227,2.6841,59.1968,66,99.9397,99.943,99.9152,99.943,99.9014,99.943,66
instance-3f7f16c4-f060-4c45-83a1-338fac61daeb,6.1045,7.4344,1.466,7.9708,1.466,7.9708,22,91.8877,96.7675,55.6808,96.8557,55.6808,96.8557,22
instance-3f7f438a-94bf-4aa0-8552-63a24e5f6bf9,4.1627,4.1716,3.3207,5.09,3.0824,5.2847,66,99.752,99.7549,99.7272,99.7549,99.7272,99.7549,66
instance-3f7f51f3-fa74-413e-ab9f-61ecde2a8676,0.9957,0.9773,0.823,1.1943,0.8105,1.3898,55,69.1917,68.9001,68.881,70.6373,68.881,70.6373,55
instance-3f80427c-9584-4e61-ac8d-89a66ec80184,5.224,5.224,5.224,5.224,5.224,5.224,2,21.2978,21.2978,21.2978,21.2978,21.2978,21.2978,2
instance-3f80ddbd-470c-4e32-a686-a831e073b31d,2.7482,2.6328,2.3533,3.6048,2.3019,4.0682,60,99.9679,99.9698,99.9421,99.9714,99.9413,99.9716,60
instance-3f81d0b9-8019-4150-8183-bba75bd01ceb,3.451,3.451,3.451,3.451,3.451,3.451,1,37.637,37.637,37.637,37.637,37.637,37.637,1
instance-3f82d5f8-9920-40f6-b480-1d3dcc704d49,0.2095,0.2102,0.199,0.2201,0.199,0.2321,60,98.1915,98.2012,98.1722,98.204,98.1466,98.2043,60
instance-3f831072-e2be-4c32-9aa0-752f06ff2bdb,1.0003,0.9663,0.8849,1.1486,0.8339,1.3531,46,70.3255,70.2451,70.2256,70.2451,70.2256,72.1724,46
instance-3f832f90-5c51-4627-860d-4ffbd5526ec9,24.045,23.0752,19.436,31.8393,19.2491,33.3886,68,98.6058,98.6138,98.5727,98.6138,98.4906,98.6138,68
instance-3f8384e6-eec9-48b4-a77c-c1db38dddb67,1.7742,1.7779,1.6957,1.8186,1.6855,1.8221,60,99.9483,99.9573,99.9017,99.9573,99.9017,99.9573,60
instance-3f83b8d2-a97f-45ed-8e82-8c226a01695f,1.0664,0.8731,0.8592,1.467,0.8592,1.467,6,70.0066,70.3161,69.3614,70.3422,69.3614,70.3422,6
instance-3f8483fb-cf77-4a88-b9ba-3e190b1a5ab0,6.6862,7.4156,1.3015,9.0867,1.296,9.4679,66,97.291,99.277,91.7008,99.6547,75.387,99.6547,66
instance-3f854be4-7c5b-44b2-a6a1-751b007dff7b,3.8568,3.6966,2.9433,6.187,2.6753,6.3991,66,99.994,99.9982,99.9704,99.9984,99.9704,99.9984,66
instance-3f858918-97ff-4784-a251-53789d6e37b6,3.5914,3.5926,3.4947,3.7171,3.4559,3.7277,60,56.4875,57.5019,53.6022,58.6128,53.6022,58.6128,60
instance-3f86c26c-a635-4d5b-bbac-b15d1a538e20,2.6217,2.594,1.9909,3.294,1.9779,4.5861,62,99.9368,99.943,99.9138,99.943,99.8897,99.943,62
instance-3f8745d0-4d10-4155-a29c-1177ae0e4830,7.6851,8.3516,4.1742,9.6471,2.5123,9.7591,63,99.1977,99.2101,99.1825,99.2101,99.0778,99.2101,63
instance-3f875d95-f298-4b1f-aa85-3f61bf3c72de,17.1556,16.8493,15.9443,19.4618,15.8565,19.6559,62,98.2052,98.2118,97.3624,98.6039,97.3153,98.6053,62
instance-3f87a68b-fa41-4f54-a346-f3ae20e76f7a,3.6113,3.2133,2.9457,6.8284,2.8225,9.4056,60,99.6115,99.6133,99.5856,99.6133,99.5856,99.6133,60
instance-3f87e63e-a768-4150-8ef6-b3585114726d,4.0038,3.8314,3.8314,4.3488,3.8314,4.3488,3,43.7655,44.481,42.3343,44.481,42.3343,44.481,3
instance-3f887f04-648d-4560-9291-244c2fc66979,7.3898,5.8198,5.0756,12.953,2.1777,13.3125,64,97.3793,97.7746,95.4397,98.4965,94.3571,98.5008,64
instance-3f8894cd-1062-4047-bc14-76d0c4e3e8bd,0.8487,0.8487,0.8487,0.8487,0.8487,0.8487,2,5.3555,5.3555,5.3555,5.3555,5.3555,5.3555,2
instance-3f89a413-d641-467f-a0c7-9e530ca75267,10.2842,10.2842,10.2842,10.2842,10.2842,10.2842,2,98.5884,98.5884,98.5884,98.5884,98.5884,98.5884,2
instance-3f89fce6-c151-40b5-be2e-ff8b954a7c81,7.8773,9.0834,3.8461,10.4229,3.5361,10.6379,60,99.0776,99.0799,99.0524,99.0799,99.0524,99.0799,60
instance-3f8a6988-634f-4d57-8cda-6f5ca4a92cb7,10.9636,10.2804,10.2804,12.3299,10.2804,12.3299,3,90.0987,96.4041,77.4879,96.4041,77.4879,96.4041,3
instance-3f8a6d46-c67d-4ebc-9744-95355a15070d,6.1992,6.109,6.02,6.4908,6.014,6.6278,62,99.9437,99.9486,99.9193,99.9488,99.8793,99.9489,62
instance-3f8a86b0-b12b-4ab6-8f6a-71f974b62f18,1.494,1.494,1.4718,1.5162,1.4718,1.5162,4,13.9151,13.9151,13.842,13.9882,13.842,13.9882,4
instance-3f8c10fa-1d70-4edc-8bf3-a502d4c52f5d,4.6778,4.6778,4.6701,4.6854,4.6701,4.6854,4,27.6869,27.6869,24.5271,30.8468,24.5271,30.8468,4
instance-3f8c156a-71f5-4207-bfdf-d6af9925f71e,15.3268,16.5372,11.9862,16.7914,11.9862,16.7914,7,99.8037,99.8037,99.8037,99.8037,99.8037,99.8037,7
instance-3f8c6157-a2a8-4c3c-b530-37fd0f3da539,2.6426,1.7145,1.6239,6.4207,1.6239,6.4207,10,77.8765,78.8997,68.8065,81.8942,68.8065,81.8942,10
instance-3f8c7cbf-4b36-408c-bde4-4fe4f62e4951,8.6384,8.8965,5.547,9.4868,5.547,9.4868,32,96.1339,96.4875,93.2476,96.6805,93.2476,96.6805,32
instance-3f8cf772-88b3-464d-9d75-f106ed63be5d,1.3126,1.3126,1.3126,1.3126,1.3126,1.3126,2,22.5523,22.5523,22.5523,22.5523,22.5523,22.5523,2
instance-3f8d8379-1846-449f-a87c-c7a49e261d6a,2.7577,2.7577,2.7577,2.7577,2.7577,2.7577,1,99.7737,99.7737,99.7737,99.7737,99.7737,99.7737,1
instance-3f8dfa7e-8db2-43f0-a74f-6805cc6ebbaf,0.975,0.975,0.975,0.975,0.975,0.975,2,85.9939,85.9939,85.9939,85.9939,85.9939,85.9939,2
instance-3f8f467e-2926-4034-b21f-ef848aab3404,1.1756,1.1756,1.1756,1.1756,1.1756,1.1756,2,3.457,3.457,3.457,3.457,3.457,3.457,2
instance-3f8f5404-e9c1-450a-ba44-d7ad0d1dbabf,28.4164,27.978,16.3425,46.0094,14.3471,48.1572,63,99.9987,100.0,99.9867,100.0,99.9733,100.0,63
instance-3f8fa9e7-72e2-4c34-8d62-0ff5eeeee4d8,0.8557,0.8557,0.8557,0.8557,0.8557,0.8557,1,7.9803,7.9803,7.9803,7.9803,7.9803,7.9803,1
instance-3f8fee58-b86f-4586-a38a-6657896ca3c1,14.152,14.9603,12.7868,15.113,12.7868,15.113,5,99.8613,99.8691,99.8495,99.8691,99.8495,99.8691,5
instance-3f90434e-5e4a-4b7f-9270-6e81209ff5c3,8.4719,8.4719,8.4719,8.4719,8.4719,8.4719,2,48.0991,48.0991,48.0991,48.0991,48.0991,48.0991,2
instance-3f90b98a-f4d8-474d-8348-bcdf2f09d438,6.2732,6.2732,6.2732,6.2732,6.2732,6.2732,2,41.1854,41.1854,41.1854,41.1854,41.1854,41.1854,2
instance-3f913cbb-9307-40cd-9ca5-27f3bc30e9ac,5.132,4.7915,3.5472,9.6347,3.1729,14.3719,64,99.9417,99.943,99.9291,99.943,99.9163,99.943,64
instance-3f9251eb-c644-420b-a9af-d11d5ff1a7fc,2.0588,2.0588,1.7234,2.3943,1.7234,2.3943,4,84.8491,84.8491,84.685,85.0131,84.685,85.0131,4
instance-3f92c6a3-70b1-47b7-a2cc-b61ceb4c7923,17.524,18.0503,15.7361,18.1015,15.7361,18.1015,9,98.1255,98.1248,98.1243,98.1276,98.1243,98.1276,9
instance-3f94409d-8ee6-48b9-ad50-5c5b0a333833,3.3718,3.3718,3.3718,3.3718,3.3718,3.3718,2,19.849,19.849,19.849,19.849,19.849,19.849,2
instance-3f965457-e606-459d-a535-cf2ee932721a,0.5706,0.5719,0.5134,0.6107,0.5134,0.6107,15,52.4862,52.4609,52.3999,52.5953,52.3999,52.5953,15
instance-3f96cdf8-f34d-4220-b07e-a59f0234df75,1.0279,0.9785,0.9334,1.3582,0.906,1.3953,62,99.9531,99.9573,99.9295,99.9573,99.9255,99.9573,62
instance-3f983d4b-c355-47d9-9ab1-1cea4a12875e,14.2546,13.8584,11.5395,17.3201,10.9725,19.864,202,99.9941,100.0,100.0,100.0,99.6825,100.0,202
instance-3f98828d-6175-47a0-ae9d-f7b9a23a825a,2.2312,2.2312,2.2312,2.2312,2.2312,2.2312,1,86.0122,86.0122,86.0122,86.0122,86.0122,86.0122,1
instance-3f98e672-7e8a-4198-8080-8b39a6908dd0,5.4531,5.4531,5.4531,5.4531,5.4531,5.4531,2,57.7821,57.7821,57.7821,57.7821,57.7821,57.7821,2
instance-3f9921c7-4212-44fe-96a9-8ed438ec024c,9.4153,10.8317,2.6261,15.7906,2.6261,15.7906,10,90.2303,90.3153,87.5434,93.7296,87.5434,93.7296,10
instance-3f99a915-f6ca-4cc1-84e3-57f03a55d025,8.2008,8.6235,5.7715,8.9499,2.9552,9.1769,51,97.0304,97.0011,96.5672,97.3389,96.541,97.3587,51
instance-3f99f52b-48f2-4dfd-bf0b-29ebe338126d,57.2472,57.2472,57.2472,57.2472,57.2472,57.2472,2,88.7433,88.7433,88.7433,88.7433,88.7433,88.7433,2
instance-3f9ac33f-7454-4214-a3eb-c4bc78e73c76,10.6393,13.4044,2.4293,15.7704,2.4293,15.7704,14,96.8779,99.7383,79.7151,99.7386,79.7151,99.7386,14
instance-3f9b03be-e02f-443e-a347-3f7ce2bfb75b,12.5039,12.3881,11.8641,13.4675,11.5751,14.5506,90,99.7648,99.785,99.6556,99.8037,99.6282,99.8037,90
instance-3f9b46e3-5b6a-49e1-bdee-04997ba0abf0,5.3923,4.7824,4.4742,6.4444,4.4167,17.5165,55,90.5531,92.8402,70.6043,99.8288,44.4843,99.8288,55
instance-3f9ba377-3932-4602-b561-001bd43d5bff,0.4009,0.4201,0.3316,0.4507,0.3165,0.4597,62,80.6386,82.5831,75.9993,87.4222,75.664,87.4223,62
instance-3f9bd55e-3117-43b3-b2b0-30d45583a3ab,9.5153,9.5973,8.7625,10.81,8.551,11.099,60,99.6156,99.6026,99.5991,99.6421,99.5733,99.6431,60
instance-3f9d5018-476b-440b-a9be-14a4a94d7f6c,16.3613,17.6211,2.6098,18.4734,2.6098,18.4734,39,97.3516,97.3031,97.1381,97.9465,97.0483,97.9465,39
instance-3f9d5e21-4558-4c8e-a9ad-093c84cb6273,2.3497,2.3497,2.3497,2.3497,2.3497,2.3497,2,20.1674,20.1674,20.1674,20.1674,20.1674,20.1674,2
instance-3f9d81e7-56d6-46dd-85c7-57d642c359c2,6.6074,7.1881,1.123,10.6107,1.0632,12.049,105,99.6523,99.6569,99.6153,99.6569,99.583,99.6569,105
instance-3f9d91b0-03ad-4a2e-83ad-32101e27b3a7,2.4199,2.4199,2.4199,2.4199,2.4199,2.4199,2,17.9492,17.9492,17.9492,17.9492,17.9492,17.9492,2
instance-3f9dae1e-1bcc-4333-ad57-96fa04475c42,0.7619,0.7619,0.7619,0.7619,0.7619,0.7619,2,10.2609,10.2609,10.2609,10.2609,10.2609,10.2609,2
instance-3f9dc354-6884-4a71-9530-a50e33cfd412,15.807,15.834,14.9792,17.2905,13.2584,17.3886,60,99.1855,98.7827,98.5817,99.7847,98.5365,99.785,60
instance-3f9dfc6e-0ddc-4c06-b7cb-2774854f1585,4.6229,4.4572,1.7344,10.7315,1.7344,10.7315,5,79.3906,78.0911,77.2919,86.1872,77.2919,86.1872,5
instance-3f9e268d-1cf9-4c6a-8b1e-b39d8e413243,2.6536,2.4044,0.9751,4.8304,0.9751,4.8304,8,85.2434,91.2689,62.6486,95.7872,62.6486,95.7872,8
instance-3f9e4ecf-d3ba-46a5-8463-dae930d311c8,5.449,5.449,5.449,5.449,5.449,5.449,2,28.464,28.464,28.464,28.464,28.464,28.464,2
instance-3f9ea282-bcbd-49f4-bce4-86aa04578a8f,3.6952,3.6819,3.4392,4.1271,3.4095,4.1869,62,97.4893,97.4951,97.4545,97.4951,97.4409,97.4951,62
instance-3f9ea74a-986c-4ea5-820a-6b53330f00d0,4.9084,5.1709,1.5157,6.2597,1.3825,6.7988,62,99.8469,99.8469,99.8469,99.8469,99.8469,99.8469,62
instance-3f9ec83d-8422-4ff0-a191-964bb9f33d47,15.4734,18.8811,2.2348,19.639,2.2348,19.639,17,93.166,97.8422,72.4415,97.992,72.4415,97.992,17
instance-3fa08c4c-1304-4de4-a5d6-a531dbb5355e,0.6358,0.6358,0.6358,0.6358,0.6358,0.6358,1,9.9998,9.9998,9.9998,9.9998,9.9998,9.9998,1
instance-3fa1065f-b868-4df1-acea-e039441ca171,8.5777,8.3207,8.1233,10.0473,8.1233,10.0473,39,97.0511,97.0902,96.8683,97.092,96.8432,97.092,39
instance-3fa1bd0e-70d3-4062-aad0-c9880a9ac30c,1.3653,1.3653,1.0694,1.6612,1.0694,1.6612,4,27.1521,27.1521,26.6011,27.7032,26.6011,27.7032,4
instance-3fa24a73-0985-4fb5-8297-a7e66d4b05ac,2.1154,1.5955,1.5909,3.1599,1.5909,3.1599,6,84.3831,84.6811,83.7865,84.6819,83.7865,84.6819,6
instance-3fa275bf-0ee8-4777-a69e-77424b80c095,1.595,1.595,1.595,1.595,1.595,1.595,2,13.287,13.287,13.287,13.287,13.287,13.287,2
instance-3fa2e347-8584-4f71-960b-369baf6ba008,1.0354,1.0354,1.0031,1.0678,1.0031,1.0678,4,36.9101,36.9101,31.0355,42.7847,31.0355,42.7847,4
instance-3fa34176-113f-4e30-a78b-16729da4aaab,2.3451,2.6736,0.8112,4.5019,0.8112,4.5019,14,88.0843,99.7123,36.4063,99.7591,36.4063,99.7591,14
instance-3fa3cad5-d014-4e78-a7b4-aa8b9a9cebde,3.5616,3.5616,3.5616,3.5616,3.5616,3.5616,1,84.9316,84.9316,84.9316,84.9316,84.9316,84.9316,1
instance-3fa3edd7-132d-4624-9dfb-56eaf90606c9,3.0927,2.2769,2.0473,10.4908,2.0288,12.7095,64,99.9491,99.9573,99.9295,99.9573,99.8753,99.9573,64
instance-3fa42683-7c6d-4d17-bc70-2e72fdb6f5bd,1.4009,1.4009,1.4009,1.4009,1.4009,1.4009,2,62.7599,62.7599,62.7599,62.7599,62.7599,62.7599,2
instance-3fa43bba-f6bc-4f25-8e3c-bbe631abd35d,7.8201,7.8201,7.8201,7.8201,7.8201,7.8201,2,43.7135,43.7135,43.7135,43.7135,43.7135,43.7135,2
instance-3fa43d4e-579c-4fac-99df-86809b1b529a,1.0356,1.0356,1.0356,1.0356,1.0356,1.0356,2,11.4702,11.4702,11.4702,11.4702,11.4702,11.4702,2
instance-3fa5427e-732e-4721-b868-8c5ee1ac2cd1,39.9124,39.9124,39.9124,39.9124,39.9124,39.9124,2,52.9243,52.9243,52.9243,52.9243,52.9243,52.9243,2
instance-3fa61737-a386-418d-8e2d-5ab6d826432a,6.7963,6.7963,6.4584,7.1342,6.4584,7.1342,4,25.9957,25.9957,24.5733,27.4181,24.5733,27.4181,4
instance-3fa652a1-b0dd-4e44-8aae-7e43ab537063,0.7771,0.7771,0.7771,0.7771,0.7771,0.7771,2,12.1239,12.1239,12.1239,12.1239,12.1239,12.1239,2
instance-3fa68d79-25d6-42c0-add7-56d5fcc853e3,9.1591,9.1591,9.1591,9.1591,9.1591,9.1591,2,64.7855,64.7855,64.7855,64.7855,64.7855,64.7855,2
instance-3fa70d33-e22e-411f-baa6-a6d82b8da824,2.2146,2.0645,1.5909,3.5696,1.5909,3.5696,20,89.8144,84.0911,82.9995,98.809,82.9995,98.809,20
instance-3fa73031-c0e0-46d4-b39c-3d86439849be,14.1303,15.9964,2.4766,17.6301,2.3615,17.8434,54,96.6518,98.0038,87.7866,98.3529,72.4182,98.3801,54
instance-3fa781fe-222b-4cd5-87ae-3b861fa9d724,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,2,3.8183,3.8183,3.8183,3.8183,3.8183,3.8183,2
instance-3fa78f3d-69ac-4422-a198-42f5467601bd,39.9219,39.9219,25.8212,54.0226,25.8212,54.0226,4,82.0984,82.0984,64.1967,100.0,64.1967,100.0,4
instance-3fa7e51b-c0a6-4ae4-8009-390664db3116,1.4957,1.4957,1.4957,1.4957,1.4957,1.4957,1,7.5449,7.5449,7.5449,7.5449,7.5449,7.5449,1
