instance,cpu_mean,cpu_median,cpu_p5,cpu_p95,cpu_min,cpu_max,cpu_n,mem_mean,mem_median,mem_p5,mem_p95,mem_min,mem_max,mem_n
instance-0014a1db-c57d-4399-baee-68e805c5a9e3,10.108,9.0157,7.9219,13.5915,4.8379,13.6851,60,99.6569,99.6569,99.6569,99.6569,99.6569,99.6569,60
instance-0014aa0c-c032-43f1-98bb-b7c7f813b223,2.1034,2.0967,1.9203,2.2756,1.9203,2.2756,9,99.307,99.3131,99.285,99.3139,99.285,99.3139,9
instance-001628d0-0b17-4537-9689-91f37da63157,22.0225,22.0225,22.0225,22.0225,22.0225,22.0225,2,72.3813,72.3813,72.3813,72.3813,72.3813,72.3813,2
instance-001663fd-e743-4015-a50a-b1aae7322b75,4.9973,4.9973,4.9973,4.9973,4.9973,4.9973,2,15.1608,15.1608,15.1608,15.1608,15.1608,15.1608,2
instance-00167e39-d947-4988-9e55-74f6008c444d,15.6024,15.6102,15.3276,15.7799,15.3276,15.7799,11,98.849,99.6606,95.1107,99.7366,95.1107,99.7366,11
instance-0016b91c-34a2-4cf8-9b98-b67e52484feb,5.2315,5.2315,5.2315,5.2315,5.2315,5.2315,2,46.8846,46.8846,46.8846,46.8846,46.8846,46.8846,2
instance-0016cd7d-2d1e-45fd-9ce1-995aa9325fc2,45.122,45.122,45.122,45.122,45.122,45.122,2,78.4858,78.4858,78.4858,78.4858,78.4858,78.4858,2
instance-0016dc88-d73a-448b-805e-d29363b7cdd7,7.2614,7.1703,1.4974,9.2742,1.3784,9.3643,62,98.2296,98.1463,96.8351,99.5697,96.7756,99.5745,62
instance-0016f2be-cb6c-4622-a074-96e11e086538,3.3822,3.3887,3.1111,3.6409,3.1081,3.8145,61,53.1213,53.1283,53.1077,53.1316,53.0637,53.132,61
instance-001733e8-d550-462d-98fa-f4c95b2b4be7,15.8265,15.6244,11.5108,18.4924,11.5108,18.4924,23,99.1158,99.8037,91.8931,99.8037,91.8931,99.8037,23
instance-001788d3-45be-4e08-a2c0-3ff1d923d322,2.287,2.287,1.73,2.844,1.73,2.844,4,82.9251,82.9251,82.7351,83.1152,82.7351,83.1152,4
instance-00190111-b2ca-490e-b28c-a2ae0e7f4521,0.5327,0.5327,0.5327,0.5327,0.5327,0.5327,2,3.8729,3.8729,3.8729,3.8729,3.8729,3.8729,2
instance-00193b14-bf8a-4b22-8af5-b5d8c730868e,3.047,3.047,3.047,3.047,3.047,3.047,2,20.5033,20.5033,20.5033,20.5033,20.5033,20.5033,2
instance-001a9e4b-8f1a-46e7-a557-2a968577aad9,8.3378,8.3312,8.0875,8.8192,7.5729,8.9812,60,99.627,99.6249,99.6065,99.6426,99.5785,99.6427,60
instance-001b6060-81b0-4bd5-b3c5-ca4861e2edd9,6.8065,6.8065,6.8065,6.8065,6.8065,6.8065,2,67.5496,67.5496,67.5496,67.5496,67.5496,67.5496,2
